"","gmDate","homeTeam","awayTeam","homeTeamRate","awayTeamRate","homeTeamlast10","awayTeamlast10","histRate","Result"
"54","2017-12-08","MEM","TOR",0.357142857142857,0.9,0.1,0.8,0.333333333333333,"Loss"
"55","2017-12-08","MIL","DAL",0.666666666666667,0.333333333333333,0.6,0.5,0.25,"Win"
"56","2017-12-08","NO","SAC",0.461538461538462,0.4,0.5,0.4,0.590909090909091,"Loss"
"57","2017-12-08","SA","BOS",0.866666666666667,0.857142857142857,0.8,0.7,0.916666666666667,"Win"
"58","2017-12-09","LAC","WAS",0.416666666666667,0.545454545454545,0.4,0.5,0.666666666666667,"Win"
"59","2017-12-09","BKN","MIA",0.416666666666667,0.454545454545455,0.4,0.5,0.363636363636364,"Loss"
"60","2017-12-09","CHA","LAL",0.571428571428571,0.461538461538462,0.3,0.4,0.583333333333333,"Loss"
"61","2017-12-09","ATL","ORL",0.25,0.5,0.3,0.3,0.625,"Win"
"62","2017-12-09","CHI","NY",0.272727272727273,0.6875,0.2,0.4,0.590909090909091,"Win"
"63","2017-12-09","CLE","PHI",0.714285714285714,0.538461538461538,0.9,0.5,0.681818181818182,"Win"
"64","2017-12-09","MIL","UTA",0.692307692307692,0.6875,0.7,0.6,0.25,"Win"
"65","2017-12-09","MEM","OKC",0.333333333333333,0.75,0.1,0.5,0.363636363636364,"Loss"
"66","2017-12-09","PHO","SA",0.266666666666667,0.866666666666667,0.2,0.8,0.181818181818182,"Loss"
"67","2017-12-09","POR","HOU",0.466666666666667,0.727272727272727,0.5,0.9,0.363636363636364,"Loss"
"68","2017-12-10","SAC","TOR",0.363636363636364,0.9,0.4,0.8,0.583333333333333,"Loss"
"69","2017-12-10","DET","BOS",0.666666666666667,0.857142857142857,0.3,0.7,0.476190476190476,"Loss"
"70","2017-12-10","IND","DEN",0.714285714285714,0.833333333333333,0.7,0.5,0.25,"Win"
"71","2017-12-10","MIN","DAL",0.692307692307692,0.333333333333333,0.6,0.4,0.5,"Win"
"72","2017-12-10","NO","PHI",0.5,0.538461538461538,0.5,0.4,0.583333333333333,"Win"
"73","2017-12-10","NY","ATL",0.705882352941177,0.25,0.4,0.3,0.476190476190476,"Win"
"74","2017-12-11","CHI","BOS",0.333333333333333,0.857142857142857,0.3,0.7,0.545454545454545,"Win"
"75","2017-12-11","HOU","NO",0.75,0.5,1,0.4,0.708333333333333,"Win"
"76","2017-12-11","MEM","MIA",0.3125,0.454545454545455,0.1,0.6,0.5,"Loss"
"77","2017-12-11","OKC","CHA",0.692307692307692,0.571428571428571,0.5,0.3,0.75,"Loss"
"78","2017-12-11","GS","POR",0.75,0.466666666666667,0.9,0.4,0.761904761904762,"Win"
"79","2017-12-11","LAC","TOR",0.461538461538462,0.9,0.5,0.7,0.5,"Win"
"80","2017-12-12","CLE","ATL",0.733333333333333,0.25,0.9,0.3,0.454545454545455,"Win"
"81","2017-12-12","DET","DEN",0.615384615384615,0.833333333333333,0.3,0.5,0.333333333333333,"Loss"
"82","2017-12-12","NY","LAL",0.722222222222222,0.461538461538462,0.4,0.4,0.666666666666667,"Win"
"83","2017-12-12","BKN","WAS",0.461538461538462,0.545454545454545,0.5,0.4,0.333333333333333,"Win"
"84","2017-12-12","MIN","PHI",0.642857142857143,0.538461538461538,0.5,0.4,0.5,"Loss"
