"","team1","team2","hist_win","hist_lost","hist_rate"
"151","CLE","ATL",20,24,0.454545454545455
"152","CLE","BKN",28,16,0.636363636363636
"153","CLE","BOS",22,20,0.523809523809524
"154","CLE","CHA",30,12,0.714285714285714
"155","CLE","CHI",20,28,0.416666666666667
"157","CLE","DAL",12,12,0.5
"158","CLE","DEN",14,10,0.583333333333333
"159","CLE","DET",24,24,0.5
"160","CLE","GS",6,18,0.25
"161","CLE","HOU",4,20,0.166666666666667
"162","CLE","IND",20,28,0.416666666666667
"163","CLE","LAC",14,10,0.583333333333333
"164","CLE","LAL",18,6,0.75
"165","CLE","MEM",14,10,0.583333333333333
"166","CLE","MIA",12,30,0.285714285714286
"167","CLE","MIL",32,16,0.666666666666667
"168","CLE","MIN",16,8,0.666666666666667
"169","CLE","NO",10,14,0.416666666666667
"170","CLE","NY",28,16,0.636363636363636
"171","CLE","OKC",14,10,0.583333333333333
"172","CLE","ORL",38,6,0.863636363636364
"173","CLE","PHI",30,14,0.681818181818182
"174","CLE","PHO",16,8,0.666666666666667
"175","CLE","POR",10,14,0.416666666666667
"176","CLE","SA",4,20,0.166666666666667
"177","CLE","SAC",12,12,0.5
"178","CLE","TOR",24,18,0.571428571428571
"179","CLE","UTA",14,10,0.583333333333333
"180","CLE","WAS",30,14,0.681818181818182
"181","DAL","ATL",4,20,0.166666666666667
"182","DAL","BKN",12,12,0.5
"183","DAL","BOS",14,10,0.583333333333333
"184","DAL","CHA",12,12,0.5
"185","DAL","CHI",14,10,0.583333333333333
"186","DAL","CLE",12,12,0.5
"188","DAL","DEN",20,24,0.454545454545455
"189","DAL","DET",14,10,0.583333333333333
"190","DAL","GS",6,38,0.136363636363636
"191","DAL","HOU",16,32,0.333333333333333
"192","DAL","IND",10,14,0.416666666666667
"193","DAL","LAC",14,28,0.333333333333333
"194","DAL","LAL",32,12,0.727272727272727
"195","DAL","MEM",26,22,0.541666666666667
"196","DAL","MIA",4,20,0.166666666666667
"197","DAL","MIL",18,6,0.75
"198","DAL","MIN",22,22,0.5
"199","DAL","NO",30,18,0.625
"200","DAL","NY",16,8,0.666666666666667
"201","DAL","OKC",16,28,0.363636363636364
"202","DAL","ORL",18,6,0.75
"203","DAL","PHI",16,8,0.666666666666667
"204","DAL","PHO",20,22,0.476190476190476
"205","DAL","POR",24,18,0.571428571428571
"206","DAL","SA",8,40,0.166666666666667
"207","DAL","SAC",28,16,0.636363636363636
"208","DAL","TOR",8,16,0.333333333333333
"209","DAL","UTA",22,20,0.523809523809524
"210","DAL","WAS",22,2,0.916666666666667
"211","DEN","ATL",8,16,0.333333333333333
"212","DEN","BKN",10,14,0.416666666666667
"213","DEN","BOS",8,16,0.333333333333333
"214","DEN","CHA",10,14,0.416666666666667
"215","DEN","CHI",18,6,0.75
"216","DEN","CLE",10,14,0.416666666666667
